district,statename
Dhubri,Assam
Chirang,Assam
Goalpara,Assam
South Salmara Mancachar,Assam
Kokrajhar,Assam
Kamrup,Assam
Baksa,Assam
Ri Bhoi,Meghalaya
Bajali,Assam
Barpeta,Assam
Nalbari,Assam
Karimganj,Assam
Cachar,Assam
Hailakandi,Assam
Dima Hasao,Assam
Darrang,Assam
Udalguri,Assam
Biswanath,Assam
Nirmal,Telangana
Adilabad,Telangana
Giridih,Jharkhand
Hazaribagh,Jharkhand
Chatra,Jharkhand
Koderma,Jharkhand
Bokaro,Jharkhand
Ramgarh,Jharkhand
Latehar,Jharkhand
Garhwa,Jharkhand
Palamu,Jharkhand
Ranchi,Jharkhand
Khunti,Jharkhand
Gumla,Jharkhand
West Singhbhum,Jharkhand
Simdega,Jharkhand
Lohardaga,Jharkhand
Godda,Jharkhand
Deoghar,Jharkhand
Dumka,Jharkhand
Jamtara,Jharkhand
Pakur,Jharkhand
Sahebganj,Jharkhand
Saraikela Kharsawan,Jharkhand
East Singhbum,Jharkhand
Bengaluru Rural,Karnataka
Bengaluru Urban,Karnataka
Ramanagara,Karnataka
Bagalkot,Karnataka
Belagavi,Karnataka
Ballari,Karnataka
Vijaynagar,Karnataka
Bidar,Karnataka
Vijayapura,Karnataka
Dharwad,Karnataka
Gadag,Karnataka
Koppal,Karnataka
Kalaburagi,Karnataka
Bastar,Chhattisgarh
Kanker,Chhattisgarh
Narayanpur,Chhattisgarh
Janjgir-Champa,Chhattisgarh
Bilaspur,Chhattisgarh
Mungeli,Chhattisgarh
Rajnandgaon,Chhattisgarh
Korba,Chhattisgarh
Gaurella Pendra Marwahi,Chhattisgarh
Durg,Chhattisgarh
Balod,Chhattisgarh
Bemetara,Chhattisgarh
Kabirdham,Chhattisgarh
Korea,Chhattisgarh
Balrampur,Chhattisgarh
Surguja,Chhattisgarh
Surajpur,Chhattisgarh
Raigarh,Chhattisgarh
Jashpur,Chhattisgarh
Mandi,Himachal Pradesh
Shimla,Himachal Pradesh
Kullu,Himachal Pradesh
Kinnaur,Himachal Pradesh
Lahul And Spiti,Himachal Pradesh
Sirmaur,Himachal Pradesh
Solan,Himachal Pradesh
Una,Himachal Pradesh
Kangra,Himachal Pradesh
Baramulla,Jammu And Kashmir
Bandipora,Jammu And Kashmir
Kupwara,Jammu And Kashmir
Jammu,Jammu And Kashmir
Samba,Jammu And Kashmir
Udhampur,Jammu And Kashmir
Kathua,Jammu And Kashmir
Leh Ladakh,Ladakh
Kargil,Ladakh
Rajouri,Jammu And Kashmir
Poonch,Jammu And Kashmir
Anantnag,Jammu And Kashmir
Pulwama,Jammu And Kashmir
Shopian,Jammu And Kashmir
Kulgam,Jammu And Kashmir
Budgam,Jammu And Kashmir
Srinagar,Jammu And Kashmir
Ganderbal,Jammu And Kashmir
Reasi,Jammu And Kashmir
Ramban,Jammu And Kashmir
Doda,Jammu And Kashmir
Kishtwar,Jammu And Kashmir
Dhanbad,Jharkhand
Amreli,Gujarat
Bhavnagar,Gujarat
Botad,Gujarat
Rajkot,Gujarat
Jamnagar,Gujarat
Junagadh,Gujarat
Morbi,Gujarat
Devbhumi Dwarka,Gujarat
Gir Somnath,Gujarat
Kachchh,Gujarat
Porbandar,Gujarat
Surendranagar,Gujarat
Anand,Gujarat
Mahisagar,Gujarat
Kheda,Gujarat
Dang,Gujarat
Surat,Gujarat
Tapi,Gujarat
Narmada,Gujarat
Bharuch,Gujarat
Vadodara,Gujarat
Yadgir,Karnataka
Haveri,Karnataka
Davangere,Karnataka
Uttara Kannada,Karnataka
Raichur,Karnataka
Chikkamagaluru,Karnataka
Chitradurga,Karnataka
Hassan,Karnataka
Kodagu,Karnataka
Chikkaballapura,Karnataka
Kolar,Karnataka
Mandya,Karnataka
Navsari,Gujarat
Dohad,Gujarat
Panch Mahals,Gujarat
Chhotaudepur,Gujarat
Valsad,Gujarat
Daman,The Dadra And Nagar Haveli And Daman And Diu
Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu
Ambala,Haryana
Panchkula,Haryana
Yamunanagar,Haryana
Charki Dadri,Haryana
Bhiwani,Haryana
Faridabad,Haryana
Palwal,Haryana
Mahasamund,Chhattisgarh
Baloda Bazar,Chhattisgarh
Dhamtari,Chhattisgarh
Gariyaband,Chhattisgarh
North East,Delhi
North,Delhi
North West,Delhi
South,Delhi
New Delhi,Delhi
West,Delhi
South West,Delhi
Ahmadabad,Gujarat
Banas Kantha,Gujarat
Mahesana,Gujarat
Gandhinagar,Gujarat
Patan,Gujarat
Sabar Kantha,Gujarat
Arvalli,Gujarat
Gurugram,Haryana
Nuh,Haryana
Rewari,Haryana
Mahendragarh,Haryana
Fatehabad,Haryana
Hisar,Haryana
Sirsa,Haryana
Jind,Haryana
Karnal,Haryana
Panipat,Haryana
Kurukshetra,Haryana
Kaithal,Haryana
Jhajjar,Haryana
Rohtak,Haryana
Sonipat,Haryana
Chamba,Himachal Pradesh
Hamirpur,Himachal Pradesh
Kolhapur,Maharashtra
Ratnagiri,Maharashtra
Sangli,Maharashtra
Sindhudurg,Maharashtra
Raigad,Maharashtra
Thane,Maharashtra
Palghar,Maharashtra
Akola,Maharashtra
Washim,Maharashtra
Wardha,Maharashtra
Chandrapur,Maharashtra
Amravati,Maharashtra
Buldhana,Maharashtra
Gadchiroli,Maharashtra
Dakshina Kannada,Karnataka
Mysuru,Karnataka
Chamarajanagara,Karnataka
Udupi,Karnataka
Shivamogga,Karnataka
Tumakuru,Karnataka
Alappuzha,Kerala
Ernakulam,Kerala
Kottayam,Kerala
Idukki,Kerala
Pathanamthitta,Kerala
Thrissur,Kerala
Kollam,Kerala
Nashik,Maharashtra
Nanded,Maharashtra
Latur,Maharashtra
Osmanabad,Maharashtra
Hingoli,Maharashtra
Jalna,Maharashtra
Parbhani,Maharashtra
Kangpokpi,Manipur
Chandel,Manipur
Pherzawl,Manipur
Churachandpur,Manipur
Imphal West,Manipur
Jiribam,Manipur
Thoubal,Manipur
Senapati,Manipur
Imphal East,Manipur
Kamjong,Manipur
Ukhrul,Manipur
Kakching,Manipur
Bishnupur,Manipur
Tengnoupal,Manipur
Noney,Manipur
Tamenglong,Manipur
Aizawl,Mizoram
Kolasib,Mizoram
Lunglei,Mizoram
Champhai,Mizoram
Hnahthial,Mizoram
Khawzawl,Mizoram
Lawngtlai,Mizoram
Saitual,Mizoram
Mamit,Mizoram
Saiha,Mizoram
Serchhip,Mizoram
Zunheboto,Nagaland
Dimapur,Nagaland
Wokha,Nagaland
Mon,Nagaland
Phek,Nagaland
Mokokchung,Nagaland
Peren,Nagaland
Kiphire,Nagaland
Kohima,Nagaland
Thiruvananthapuram,Kerala
Palakkad,Kerala
Kozhikode,Kerala
Wayanad,Kerala
Kannur,Kerala
Kasaragod,Kerala
Malappuram,Kerala
Mahe,Puducherry
Balaghat,Madhya Pradesh
Mandla,Madhya Pradesh
Dindori,Madhya Pradesh
Seoni,Madhya Pradesh
Neemuch,Madhya Pradesh
Bhopal,Madhya Pradesh
Raisen,Madhya Pradesh
Chhatarpur,Madhya Pradesh
Panna,Madhya Pradesh
Tikamgarh,Madhya Pradesh
Niwari,Madhya Pradesh
Betul,Madhya Pradesh
Chhindwara,Madhya Pradesh
Hoshangabad,Madhya Pradesh
Harda,Madhya Pradesh
Narsinghpur,Madhya Pradesh
Dewas,Madhya Pradesh
Rewa,Madhya Pradesh
Satna,Madhya Pradesh
Damoh,Madhya Pradesh
Katni,Madhya Pradesh
Sagar,Madhya Pradesh
Shahdol,Madhya Pradesh
Umaria,Madhya Pradesh
Anuppur,Madhya Pradesh
Sidhi,Madhya Pradesh
Singrauli,Madhya Pradesh
Khargone,Madhya Pradesh
Vidisha,Madhya Pradesh
Indore,Madhya Pradesh
Dhar,Madhya Pradesh
Jabalpur,Madhya Pradesh
East Nimar,Madhya Pradesh
Burhanpur,Madhya Pradesh
Barwani,Madhya Pradesh
Mandsaur,Madhya Pradesh
Jhabua,Madhya Pradesh
Alirajpur,Madhya Pradesh
Ratlam,Madhya Pradesh
Rajgarh,Madhya Pradesh
Ujjain,Madhya Pradesh
Nagpur,Maharashtra
Bhandara,Maharashtra
Gondia,Maharashtra
Yavatmal,Maharashtra
Ahmednagar,Maharashtra
Solapur,Maharashtra
Pune,Maharashtra
Satara,Maharashtra
Jalgaon,Maharashtra
Beed,Maharashtra
Nandurbar,Maharashtra
Dhule,Maharashtra
Sehore,Madhya Pradesh
Agar Malwa,Madhya Pradesh
Shajapur,Madhya Pradesh
Ashoknagar,Madhya Pradesh
Guna,Madhya Pradesh
Shivpuri,Madhya Pradesh
Datia,Madhya Pradesh
Gwalior,Madhya Pradesh
Bhind,Madhya Pradesh
Morena,Madhya Pradesh
Sheopur,Madhya Pradesh
South Goa,Goa
North Goa,Goa
Fazilka,Punjab
Moga,Punjab
Firozepur,Punjab
Gurdaspur,Punjab
Pathankot,Punjab
Hoshiarpur,Punjab
Shahid Bhagat Singh Nagar,Punjab
Jalandhar,Punjab
Kapurthala,Punjab
Ajmer,Rajasthan
Rajsamand,Rajasthan
Bhilwara,Rajasthan
Chittorgarh,Rajasthan
Pratapgarh,Rajasthan
Banswara,Rajasthan
Dungarpur,Rajasthan
Jhalawar,Rajasthan
Kota,Rajasthan
Baran,Rajasthan
Bundi,Rajasthan
Tonk,Rajasthan
Balangir,Odisha
Sonepur,Odisha
Anugul,Odisha
Dhenkanal,Odisha
Kendujhar,Odisha
Jajapur,Odisha
Bargarh,Odisha
Sambalpur,Odisha
Jharsuguda,Odisha
Sundargarh,Odisha
Deogarh,Odisha
Ganjam,Odisha
Cuttack,Odisha
Gajapati,Odisha
Kalahandi,Odisha
Nuapada,Odisha
Malkangiri,Odisha
Nabarangpur,Odisha
Koraput,Odisha
Tuensang,Nagaland
Noklak,Nagaland
West Tripura,Tripura
Sepahijala,Tripura
Gomati,Tripura
South Tripura,Tripura
West Siang,Arunachal Pradesh
Siang,Arunachal Pradesh
Dibang Valley,Arunachal Pradesh
Papum Pare,Arunachal Pradesh
Leparada,Arunachal Pradesh
West Kameng,Arunachal Pradesh
Changlang,Arunachal Pradesh
Upper Subansiri,Arunachal Pradesh
Tirap,Arunachal Pradesh
Anjaw,Arunachal Pradesh
East Siang,Arunachal Pradesh
Tawang,Arunachal Pradesh
Lower Siang,Arunachal Pradesh
Longding,Arunachal Pradesh
Shi Yomi,Arunachal Pradesh
Namsai,Arunachal Pradesh
Kurung Kumey,Arunachal Pradesh
Lower Subansiri,Arunachal Pradesh
Lower Dibang Valley,Arunachal Pradesh
Pakke Kessang,Arunachal Pradesh
East Kameng,Arunachal Pradesh
Lohit,Arunachal Pradesh
Upper Siang,Arunachal Pradesh
Dhalai,Tripura
Unakoti,Tripura
North Tripura,Tripura
Khowai,Tripura
East Khasi Hills,Meghalaya
South West Khasi Hills,Meghalaya
West Jaintia Hills,Meghalaya
East Jaintia Hills,Meghalaya
West Khasi Hills,Meghalaya
South West Garo Hills,Meghalaya
South Garo Hills,Meghalaya
West Garo Hills,Meghalaya
North Garo Hills,Meghalaya
East Garo Hills,Meghalaya
Bhadrak,Odisha
Baleshwar,Odisha
Barmer,Rajasthan
Bikaner,Rajasthan
Churu,Rajasthan
Jhunjhunu,Rajasthan
Jaisalmer,Rajasthan
Jodhpur,Rajasthan
Nagaur,Rajasthan
Pali,Rajasthan
Sirohi,Rajasthan
Sikar,Rajasthan
Jalore,Rajasthan
Vellore,Tamil Nadu
Coimbatore,Tamil Nadu
Dharmapuri,Tamil Nadu
Krishnagiri,Tamil Nadu
Erode,Tamil Nadu
Tiruppur,Tamil Nadu
Namakkal,Tamil Nadu
Salem,Tamil Nadu
The Nilgiris,Tamil Nadu
Tirupathur,Tamil Nadu
Tiruvannamalai,Tamil Nadu
Dindigul,Tamil Nadu
Kanniyakumari,Tamil Nadu
Mayurbhanj,Odisha
Puri,Odisha
Khordha,Odisha
Kendrapara,Odisha
Jagatsinghapur,Odisha
Nayagarh,Odisha
Rayagada,Odisha
Boudh,Odisha
Kandhamal,Odisha
S.A.S Nagar,Punjab
Chandigarh,Chandigarh
Rupnagar,Punjab
Ludhiana,Punjab
Patiala,Punjab
Fatehgarh Sahib,Punjab
Malerkotla,Punjab
Sangrur,Punjab
Barnala,Punjab
Amritsar,Punjab
Tarn Taran,Punjab
Bathinda,Punjab
Mansa,Punjab
Sri Muktsar Sahib,Punjab
Faridkot,Punjab
Udaipur,Rajasthan
Alwar,Rajasthan
Bharatpur,Rajasthan
Dholpur,Rajasthan
Jaipur,Rajasthan
Dausa,Rajasthan
Sawai Madhopur,Rajasthan
Karauli,Rajasthan
Hanumangarh,Rajasthan
Ganganagar,Rajasthan
Ranipet,Tamil Nadu
Villupuram,Tamil Nadu
Chengalpattu,Tamil Nadu
Kanchipuram,Tamil Nadu
Thiruvallur,Tamil Nadu
Pondicherry,Puducherry
Cuddalore,Tamil Nadu
Rae Bareli,Uttar Pradesh
Amethi,Uttar Pradesh
Sitapur,Uttar Pradesh
Sultanpur,Uttar Pradesh
Almora,Uttarakhand
Bageshwar,Uttarakhand
Pithoragarh,Uttarakhand
Chamoli,Uttarakhand
Rudra Prayag,Uttarakhand
Dehradun,Uttarakhand
Tehri Garhwal,Uttarakhand
Haridwar,Uttarakhand
Nainital,Uttarakhand
Udam Singh Nagar,Uttarakhand
Pauri Garhwal,Uttarakhand
Champawat,Uttarakhand
Uttar Kashi,Uttarakhand
24 Paraganas South,West Bengal
24 Paraganas North,West Bengal
Birbhum,West Bengal
Murshidabad,West Bengal
Purba Bardhaman,West Bengal
Kolkata,West Bengal
Maldah,West Bengal
Nadia,West Bengal
South Andamans,Andaman And Nicobar Islands
Nicobars,Andaman And Nicobar Islands
North And Middle Andaman,Andaman And Nicobar Islands
Alipurduar,West Bengal
Coochbehar,West Bengal
Kalimpong,West Bengal
Darjeeling,West Bengal
Jalpaiguri,West Bengal
Ballia,Uttar Pradesh
Azamgarh,Uttar Pradesh
Fatehpur,Uttar Pradesh
Chandauli,Uttar Pradesh
Varanasi,Uttar Pradesh
Siddharth Nagar,Uttar Pradesh
Bhadohi,Uttar Pradesh
Bareilly,Uttar Pradesh
Pilibhit,Uttar Pradesh
Bijnor,Uttar Pradesh
Aligarh,Uttar Pradesh
Budaun,Uttar Pradesh
Sambhal,Uttar Pradesh
Hardoi,Uttar Pradesh
Kheri,Uttar Pradesh
Baghpat,Uttar Pradesh
Meerut,Uttar Pradesh
Saharanpur,Uttar Pradesh
Hapur,Uttar Pradesh
Amroha,Uttar Pradesh
Moradabad,Uttar Pradesh
Rampur,Uttar Pradesh
Muzaffarnagar,Uttar Pradesh
Shamli,Uttar Pradesh
Shahjahanpur,Uttar Pradesh
Mau,Uttar Pradesh
Bahraich,Uttar Pradesh
Shravasti,Uttar Pradesh
Sant Kabeer Nagar,Uttar Pradesh
Basti,Uttar Pradesh
Deoria,Uttar Pradesh
Kushi Nagar,Uttar Pradesh
Gonda,Uttar Pradesh
Gorakhpur,Uttar Pradesh
Maharajganj,Uttar Pradesh
North District,Sikkim
East District,Sikkim
West District,Sikkim
South District,Sikkim
Pakyong,Sikkim
Dinajpur Dakshin,West Bengal
Dinajpur Uttar,West Bengal
Paschim Bardhaman,West Bengal
Bankura,West Bengal
Medinipur East,West Bengal
Medinipur West,West Bengal
Hooghly,West Bengal
Howrah,West Bengal
Jhargram,West Bengal
Banda,Uttar Pradesh
Chitrakoot,Uttar Pradesh
Mahoba,Uttar Pradesh
Farrukhabad,Uttar Pradesh
Kannauj,Uttar Pradesh
Kanpur Nagar,Uttar Pradesh
Kanpur Dehat,Uttar Pradesh
Unnao,Uttar Pradesh
Barabanki,Uttar Pradesh
Ambedkar Nagar,Uttar Pradesh
Ayodhya,Uttar Pradesh
Firozabad,Uttar Pradesh
Gautam Buddha Nagar,Uttar Pradesh
Ghaziabad,Uttar Pradesh
Lucknow,Uttar Pradesh
Sivaganga,Tamil Nadu
Tuticorin,Tamil Nadu
Virudhunagar,Tamil Nadu
Tenkasi,Tamil Nadu
Tirunelveli,Tamil Nadu
Madurai,Tamil Nadu
Ramanathapuram,Tamil Nadu
Theni,Tamil Nadu
Karur,Tamil Nadu
Pudukkottai,Tamil Nadu
Tiruchirappalli,Tamil Nadu
Thanjavur,Tamil Nadu
Thiruvarur,Tamil Nadu
Mayiladuthurai,Tamil Nadu
Nagapattinam,Tamil Nadu
Karaikal,Puducherry
Auraiya,Uttar Pradesh
Etawah,Uttar Pradesh
Jhansi,Uttar Pradesh
Lalitpur,Uttar Pradesh
Jalaun,Uttar Pradesh
Mainpuri,Uttar Pradesh
Mathura,Uttar Pradesh
Hathras,Uttar Pradesh
Prayagraj,Uttar Pradesh
Kaushambi,Uttar Pradesh
Jaunpur,Uttar Pradesh
Ghazipur,Uttar Pradesh
Mirzapur,Uttar Pradesh
Sonbhadra,Uttar Pradesh
Perambalur,Tamil Nadu
Ariyalur,Tamil Nadu
Kallakurichi,Tamil Nadu
Agra,Uttar Pradesh
Etah,Uttar Pradesh
Bulandshahr,Uttar Pradesh
Kasganj,Uttar Pradesh
Lakshadweep District,Lakshadweep
Mumbai,Maharashtra
Mumbai Suburban,Maharashtra
Longleng,Nagaland
Shahdara,Delhi
East,Delhi
Central,Delhi
South East,Delhi
Diu,The Dadra And Nagar Haveli And Daman And Diu
Chennai,Tamil Nadu
Purulia,West Bengal
Kra Daadi,Arunachal Pradesh
Soreng,Sikkim
Yanam,Puducherry
Kamle,Arunachal Pradesh
