officename,pincode
Akkannapet PDC,505466
Dacharam PDC,505405
Gundaram PDC,505528
Repaka PDC,505528
Tadagonda PDC,505524
Ottimalla PDC,505524
Mallapur PDC,505415
Ambaripet PDC,505526
Muthunur PDC,505526
Atmakur PDC,502291
Jagadevpet PDC,505526
Achampalli PDC,505445
Nagireddipur PDC,505445
Kurikyal PDC,505445
Gouravelli PDC,505467
Pandilla PDC,505467
Parveda PDC,505467
Cheppial PDC,505501
Vallampatla PDC,505402
Anantharam PDC,506102
Algunur PDC,505527
Polampalli PDC,505469
Bommakal PDC,505002
Durshed PDC,505002
Nallagonda PDC,505481
Ramancha PDC,505481
Katnapalli PDC,505531
Koheda PDC,505473
Jangapalli PDC,505530
Tallapalli PDC,505530
Nagal Kadmoor PDC,509130
Irladinne PDC,509130
Mittadoddi PDC,509127
Gopanpally PDC,502221
Rekulampalli PDC,509219
Alwalpad PDC,509133
Beechpally PDC,509133
Thimmapur PDC,509133
Tottinon Doddi PDC,509129
Erikichedu PDC,509129
Peddamamidala Padu PDC,509128
Dharmavaram PDC,509128
Pallepad PDC,509128
Vallur PDC,509128
Paipadu PDC,509126
Peddatandrapad PDC,509126
Marmungal PDC,509153
Pullur PDC,509153
Yapadinne PDC,509135
Kandur PDC,509382
Polkampally PDC,509382
Gajulapet PDC,509382
Bommanpad PDC,509407
Gudimunkan Pally PDC,509407
Wathugundla PDC,509407
Dokur PDC,509204
Manikonda PDC,509204
Kistapur PDC,509204
Tankara PDC,509334
Hakeempet PDC,509350
Lakcherla PDC,509350
Boyapally PDC,509002
Kothapet PDC,509002
Kachwar PDC,509353
Manthan Gode PDC,509353
Parsapur PDC,509338
Chandraspalli PDC,509371
Malkapuram PDC,509371
Pagidial PDC,509371
Suraram PDC,509371
Vinjamur PDC,509371
Rampur PDC,509371
Chandravancha PDC,509339
Vennached PDC,509339
Tangadgi PDC,509352
Antharam PDC,509335
Nellikondi PDC,509409
Pallamarri PDC,509409
Rakonda PDC,509409
Dorepally PDC,509411
Chityala PDC,509208
Dasardoddi PDC,509208
Maganur PDC,509208
Panchalingal PDC,509208
Ujjali PDC,509208
Wadwat PDC,509208
Sangambanda PDC,509208
Neredgaon PDC,509208
Theelair PDC,509351
Eligandla PDC,509351
Mangampet PDC,509337
Salkarpet PDC,509337
Amdipur PDC,509210
Bhairamkonda PDC,509210
Lingampaly PDC,509340
Chowdapur PDC,509340
Antharam PDC,509336
Balampet PDC,509336
Devalfaslawar PDC,509336
Gokhafaslawar PDC,509336
Tekalkode PDC,509336
Challapur PDC,509336
Desai Pally PDC,509336
Rudraram PDC,509336
Annaram PDC,509336
Chinnaporla PDC,509311
Peddaporla PDC,509311
Tipraspally PDC,509311
Katrial PDC,502115
Thonigandla PDC,502115
Chinna Shivnoor PDC,502255
Wadiaram PDC,502255
Nagapuram PDC,502113
Ausulapally PDC,502113
Manoharabad PDC,502336
Veloor PDC,502336
Perur PDC,502109
Ananthasagar PDC,502247
Chepial PDC,502247
Dommat PDC,502247
Indupial PDC,502247
BONAL PDC,502247
Nagulapally PDC,502335
Khajapur PDC,502248
Mirzapally PDC,502248
Lingaipally PDC,502303
M Bhupathipur PDC,502117
Kadloor PDC,502302
Palvancha PDC,502302
Waddepalli PDC,502334
Shivampet PDC,502334
Majeedpally PDC,502334
Nacharam PDC,502334
Kurthiwada PDC,502331
Vittalapur PDC,502310
Gambheerpur PDC,502108
Habsipur PDC,502108
Kaslabad PDC,502108
Anajipur PDC,502278
Thirumalapur PDC,502278
Kolgur PDC,502278
Raiploe PDC,502278
Ramaram PDC,502278
Gollapally PDC,502281
Itikyala PDC,502281
Timmapur PDC,502312
Lingareddipally PDC,502276
Ramancha PDC,502276
Gurralagondi PDC,502276
Thoguta PDC,502372
Zapti Nacharam PDC,502372
Mangole PDC,502301
Tipparam PDC,502301
Rayalapur PDC,502102
Baddipadaga PDC,502375
Venkatapur PDC,502375
Rampur PDC,502375
Velkatur PDC,502375
Erraballi PDC,502279
Gouraram PDC,502279
Mamidial PDC,502279
Narsampally PDC,502279
Akkaram PDC,502311
Narayanaraopet PDC,502107
Golankonda PDC,508101
Paladugu PDC,508111
Duppalli PDC,508111
Koratikal PDC,508111
Kurella PDC,508111
Guduru PDC,508126
Naginenipalli PDC,508126
Jainapalli PDC,508126
Raghavapuram PDC,508126
Chowllaramavaram PDC,508277
Repakapatti PDC,508277
Gattusingaram PDC,508277
Govindapuram PDC,508277
Dacharam PDC,508277
Jiblakpalli PDC,508284
Julur PDC,508284
Challoor PDC,508105
Doodi Venkatapuram PDC,508105
Pamkunta B O PDC,508105
Suraram PDC,508113
Iskilla PDC,508113
Laxmapuram PDC,508113
Bollepalli PDC,508285
Nandanam PDC,508285
Redlarepaka PDC,508285
Sunkishala PDC,508112
Varaturu PDC,508286
Jangampalli PDC,508115
Venkatpuram PDC,508115
G Aeroli PDC,508255
Kanagal PDC,508255
Bangarigadda PDC,508255
Gundrepalli PDC,508255
Narmata PDC,508255
Kurmedu PDC,508250
Mandra PDC,508114
Nerada PDC,508114
Sivaneniguda PDC,508114
Velmined PDC,508114
Yelkatta PDC,508114
Gagillapur PDC,508248
Neredgum PDC,508248
Gottimukla PDC,508248
Mallareddipalli PDC,508248
Yalamala Manda PDC,508248
Palwai PDC,508257
Chilkamarri PDC,508257
Anumula PDC,508377
Thuniki Nuthala PDC,508377
Tirmalgiri PDC,508377
Vijayapuri North PDC,508202
Mustipalli PDC,508243
Vaddipatla PDC,508243
Ananthampet PDC,508245
Thirgallapalli PDC,508245
Venkate swara Nagar PDC,508245
Narsinghpatla PDC,508244
Medlavai PDC,508373
Gujja PDC,508253
Survail PDC,508253
Rachakonda PDC,508253
Jangaon PDC,508253
Vattimarthi PDC,508254
Utlapally PDC,508266
Sirsangandla PDC,508266
Appajipet PDC,508002
Cherlapalli PDC,508002
Kanchanpalli PDC,508002
Cherla Gowravaram PDC,508004
Koppole PDC,508256
Thanedarpalli PDC,508256
Vennelb PDC,503217
Janakampet PDC,503307
Narsapuram PDC,503307
Nallapalli PDC,503164
Yellareddypalli PDC,503110
Yellareddypalli PDC,503164
Tadlarampur PDC,503308
Uploor PDC,503308
Chotpalli PDC,503308
Shetpalli PDC,503218
Vencherial PDC,503218
Kalhadi PDC,503213
Sunket PDC,503225
Badguni PDC,503212
Khudwanpur PDC,503212
Ummeda PDC,503212
Gadepalli PDC,503212
Lakhora PDC,503311
Manthani PDC,503223
Konapur PDC,503187
Tujlapur PDC,503125
Yadaram PDC,503125
Fathlapur PDC,503306
Hasgal PDC,503306
Gurjal PDC,503114
Pothangalkalan PDC,503114
Methusangam PDC,503114
Narsannapalli PDC,503102
Pondurthy PDC,503102
Lingupalli PDC,503102
Adloor PDC,503112
Polkampet PDC,503124
Gundekallur PDC,503309
Malthummeda PDC,503108
Kodapkal Kalan PDC,503310
Godmegaon PDC,503310
Baswannapalli PDC,503110
Chinnamallareddy PDC,503110
Chitial PDC,503110
Moshampur PDC,503144
Uppalwai PDC,503144
Mathumal PDC,503122
Karadpalli PDC,503120
Nandiwada PDC,503120
Kandagaon PDC,503235
Pentakalan PDC,503235
Satapur PDC,503235
Kistapur PDC,503321
Nasrullabad PDC,503321
Thimmapuram PDC,503321
Raithunagar PDC,503185
Mavandikalan PDC,503185
Badsi PDC,503230
Bardipur PDC,503230
Manchippa PDC,503230
Jamlam PDC,503202
Kurnapalli PDC,503202
Thanakalan PDC,503202
Ailapur PDC,503246
Binola PDC,503246
Gullabuzrug PDC,503305
Khandeballur PDC,503305
Jillapalli PDC,503207
Govur PDC,503206
Malkapoor PDC,503206
Ananthagiri PDC,503186
Pocharam PDC,503186
Arsapalli PDC,503186
Old Varni PDC,503201
Kothapalli PDC,505497
Ithrajpalle PDC,505186
Mukdampur PDC,505186
Chamanpalli PDC,505186
Madipalli PDC,505122
Mirzampet PDC,505153
Rathpalli PDC,505153
Madannapet PDC,505102
Kaniparthi PDC,505102
Timmapur PDC,505102
Kanaparthi PDC,505129
Valbhapur PDC,505129
Kothaghat PDC,505490
Madupalli PDC,505162
Moolasala PDC,505162
Muttaram PDC,505470
Mallaram PDC,505471
Yerrapalli PDC,505471
Vegurpalli PDC,505505
Komera PDC,505152
Gumpula PDC,505152
Mogalipalam PDC,505474
Bijnur PDC,505475
Vilasagar PDC,505475
Deshaipalli PDC,505502
Dongathurthi PDC,505187
Kanagarthy PDC,505187
Narsimhulapalli PDC,505187
Paidichinthalapalli PDC,505187
Begumpet PDC,505212
Kalvacherla PDC,505212
Kothur PDC,505525
Dhulkatta PDC,505525
Telkunta PDC,505525
Wadakapur PDC,505525
Julapalli PDC,505525
Sultanpur PDC,505525
Maredpak PDC,505209
Bayyaram PDC,505503
Singampalli PDC,505503
Regulagudem PDC,505503
Prathapagiri PDC,505503
Polaram PDC,505503
Chidinapalli PDC,505503
Bommapur PDC,505504
Suraram PDC,505504
Maddulapalli PDC,505504
Dammur PDC,505504
Mukunoor PDC,505504
Rapallikota PDC,505504
Adivisomanpalli PDC,505184
Gunjapadaga PDC,505184
POTHARAM PDC,505184
NAGARAMPALLI PDC,505184
Chegaon PDC,505416
Maredgonda PDC,505174
Rampalli PDC,505174
BOMPALLI PDC,505174
Kodurpak PDC,505185
Thogurai PDC,505185
Narayanapur PDC,505185
SHAYAMPET PDC,505416
Devnoor PDC,502269
Korpole PDC,502273
Mudimanik PDC,502273
Choutkur PDC,502273
Chitkul PDC,502307
Lakdaram PDC,502307
Pashamailaram PDC,502307
Bodupatla PDC,502296
Chidruppa PDC,502296
Chintalcheru PDC,502296
Neredigunta PDC,502270
Posanipet PDC,502270
Dakoor PDC,502270
Lonikurd PDC,502345
Kalivemula PDC,502285
Kanchanpally PDC,502316
Mohammed Nagar PDC,502316
Tunki PDC,502316
Tadlapally PDC,502294
Nagulapalli PDC,502300
Nandigaon PDC,502300
Pati PDC,502300
Kondapur PDC,502306
Peddapur PDC,502306
Peddagottimukla PDC,502313
Bachepally PDC,502371
Jinnaram PDC,502319
Chetlapotharam PDC,502319
R ITIKYAL PDC,502290
Tangadpalli PDC,502291
Gonglur PDC,502293
Satwar PDC,502221
Dappur PDC,502251
Pothareddypally PDC,502210
Machireddypally PDC,502210
Didgi PDC,502228
Mamidgi PDC,502249
Abbenda PDC,502286
Ananthasagar PDC,502286
Bellapur PDC,502286
Hoti PDC,502318
Naganpally PDC,502287
Bibipet PDC,502287
Jeerlapally PDC,502246
Ganugabanda PDC,508201
Medaram PDC,508201
Ponugode PDC,508201
Karakkayala Gudem PDC,508204
Sarvaram PDC,508204
Chirumarthy PDC,508374
Kannekal PDC,508374
Salkunoor PDC,508374
Chintriyala PDC,508246
Gudimalkapuram PDC,508246
Revoor PDC,508246
Thammavaram PDC,508246
Bodaladinne PDC,508218
Tummadam PDC,508278
Ibrahimpet PDC,508278
Babasahebpet PDC,508208
Devulapally Kalan PDC,508208
Molkacharla PDC,508208
Takkellapahad PDC,508208
Indloor PDC,508247
Chetlachennaram PDC,508247
Chinnamadharam PDC,508247
Molkapatnam PDC,508217
Ravulapenta PDC,508217
Dilawarpur PDC,508355
Damaracherla PDC,508355
Kallepalle B O PDC,508355
Kuchipudi PDC,508238
Chintalacheruvu PDC,508214
Chivemula PDC,508214
Gajulamalkapuram PDC,508214
Penpahad PDC,508214
Talla Khammam Pahad PDC,508214
Dugenevally PDC,508205
Dwarakunta PDC,508206
Shantinagar PDC,508206
Singavaram PDC,508206
Gondriyala PDC,508206
Akupamula PDC,508233
Mukundapuram PDC,508233
Taduvai PDC,508233
Ganapavaram PDC,534455
Repala PDC,508233
Taduvai PDC,534455
Cheedella PDC,508233
Ratnavaram PDC,508234
Chandampally PDC,508211
Chandupatla PDC,508211
Marrur PDC,508211
Gudivada PDC,508211
Ogodu PDC,508211
Thungathurthy PDC,508211
Kethepally PDC,508211
Edavalli PDC,508221
Pedanemilla PDC,508221
Pasthala PDC,508279
Annariguda PDC,508212
Atmakur PDC,508212
Burkacharla PDC,508212
Kotapahad PDC,508212
Nemmikal PDC,508212
Vibhalapuram PDC,508212
Yendlapally PDC,508376
Gonrentla PDC,508280
Thoorpugudem PDC,508280
Karvirala Kothagudem PDC,508280
Jalalpuram PDC,508223
Kinthalli PDC,531027
M Koduru PDC,531027
Pongalipaka PDC,531027
Burugupalem PDC,531113
Koduru PDC,531113
Dharagangavaram PDC,531115
E D Peta PDC,531115
Sarugudu PDC,531115
Iradapalle PDC,531024
Kindangi PDC,531024
Legisipalli PDC,531024
Salugu PDC,531024
Aradakota PDC,531040
Babusala PDC,531040
Basiputtu PDC,531040
Jolaput PDC,531040
Pedaguda PDC,531040
Seekari PDC,531040
Sujanakota PDC,531040
Vanabhangi PDC,531040
Barada PDC,531040
Bondapalli PDC,531040
Koravangi PDC,531040
Marupaka PDC,531025
Duppulavada PDC,531105
Dibbapalem PDC,531026
Amalapuram PDC,531117
Bodapalem PDC,531117
Jilledupudi PDC,531117
Panasapadu PDC,533005
Peddada PDC,533344
Manjeru PDC,533468
Vijayarayudupalem PDC,533468
Kaikavolu PDC,533006
Kandregula PDC,533462
Kesavapuram PDC,533463
P Mallavaram PDC,533463
Gurazanapalli PDC,533016
Yanamadala PDC,533260
Vetamamidi PDC,533428
Thimmapuram PDC,533406
Latchireddipalem PDC,533406
P E Chinayapalem PDC,533406
Kothaperumallapuram PDC,533449
A V Nagaram PDC,533449
Pothuluru PDC,533430
Rayavaram PDC,533445
Somavaram PDC,533435
Kodavali PDC,533451
Kothakottam PDC,533407
Surapurajupeta PDC,533407
Allipudi PDC,533407
K E Chinnayyapalem PDC,533407
Jalluru PDC,533433
Ramesampeta PDC,533437
Kandrakota PDC,533437
Nayakampalli PDC,533437
Chandanampalem PDC,533450
Gokivada PDC,533450
Isukapalli PDC,533450
Viravada PDC,533450
ANCHANUR PDC,503123
Ammirekula PDC,533436
Badadanampalli PDC,533436
Aminabad PDC,533436
Cherukumpalem PDC,533436
Donelapalem PDC,533436
Godi O Kurthi PDC,533436
Kirrabu PDC,533436
Lododdi PDC,533436
Mukundavaram PDC,533291
G Kothapalli PDC,533446
Konthangi PDC,533446
Routhulapudi PDC,533446
Meraka Chamavaram PDC,533446
Addaripeta PDC,533401
Rekhavanipalem PDC,533401
Chamavaram PDC,533401
K Mallavaram PDC,533401
Mulapeta PDC,533448
P Vemavaram PDC,533434
D  Ramavaram PDC,533483
Dalipadu PDC,533483
Bhadravaram PDC,533429
Chilakalapalli PDC,535557
SOANPET PDC,503219
TALAMADLA PDC,503102
Vengapuram Agraharam PDC,535557
Mirthivalasa PDC,535559
Bondapalli PDC,535128
Badangi PDC,535578
Pappala Lingalavalasa PDC,535578
Bhyripuram PDC,535102
Mokhasa Lingalavalasa PDC,535102
Bangaruvalasa PDC,535547
Markondaputti PDC,535547
Saraivalasa PDC,535547
Chemudu PDC,535547
Lakshmipuram PDC,535547
Kottuparuva PDC,535593
Kurukutti PDC,535593
Sivili Peddavalasa PDC,535593
Devarapodilam PDC,535125
Nimmalavalasa PDC,535125
Palavalasa PDC,535125
Karrivalasa PDC,535592
Padmapuram PDC,535592
Nandabalaga PDC,535568
Pinapenki PDC,535568
Paradi PDC,503321
Patharega PDC,535579
Korapukothavalasa PDC,535579
Viswanadhapuram PDC,535591
Nelliparthi PDC,535591
Panukuvalasa PDC,535591
Parannavalasa PDC,535591
GOURARAM PDC,503187
Burja PDC,535546
Tamarakhandi PDC,535546
Krishnarayapuram PDC,535546
Maripivalasa PDC,535546
Nidagallu PDC,535546
Venkatabhyripuram PDC,535546
Boddam PDC,532148
Chandraiahpeta PDC,532148
Chettupodilam PDC,532148
Yenduva PDC,532148
Kusumuru PDC,535124
Rajeru PDC,535124
Vadada PDC,535124
Ravipalli PDC,535463
Kothapalli PDC,535463
Kotturu PDC,535463
Sivvam PDC,535463
Kedaripuram PDC,535523
Nandrukona PDC,503230
Rastakuntubai PDC,535523
Rella PDC,535523
Yegulavada PDC,535523
Chemuduguda PDC,535523
Babbidi PDC,535521
MOHAMMADNAGAR PDC,503302
Chinageesada PDC,535521
Kottu PDC,535521
Palem PDC,535521
Kosu PDC,535521
Kuntesu PDC,535521
Sivannapeta PDC,535524
Dalaipeta PDC,535524
Duddukhallu PDC,535524
Kitchada PDC,535524
Udayapuram PDC,535534
Navagam PDC,532462
Aradali PDC,532440
Bukkuru PDC,532440
Kondapuram PDC,532440
Pedakotipalli PDC,532440
Duggi PDC,535502
Surampeta PDC,535527
Buduruwada PDC,535527
Dokiseela PDC,535527
Donkala Kothapatnam PDC,535527
Puligummi PDC,535527
Gondi PDC,532443
Kusimi PDC,532443
Talagam PDC,532461
Kambara PDC,532460
Titukupai PDC,532460
V Ramannapalem PDC,533288
Kalavacherala PDC,533297
Goragummi PDC,533284
B Velamakota PDC,533284
Doramamidi PDC,533284
Lakkonda PDC,533284
Budhera PDC,502345
Gangampalem PDC,533286
Srikrishnapatnam PDC,533353
Tokada PDC,533296
Rajavolu PDC,533124
Madiki PDC,533126
Burrilanka PDC,533126
Gadala PDC,533102
Madhurapudi PDC,533102
Gadarada PDC,533289
Kunavaram PDC,533289
Vedurupaka PDC,533289
Bayyanapalli PDC,533285
NAGAMPALLI PDC,533290
Kundada PDC,533295
Gujjumamidivalasa PDC,533295
Busigandi PDC,533295
Pamulamamidi PDC,533295
Veerampalem PDC,533294
Ilakolanu PDC,533294
Vadisaleru PDC,533294
Velugubanda PDC,533294
Beerampalli PDC,533288
Ginnepalli PDC,533288
I Polavaram PDC,533288
Tatiwada PDC,533288
Tunnuru PDC,533288
Pidimgoyya PDC,533107
Purushottapatnam PDC,533287
Mirthipadu PDC,533293
KUTURU B O PDC,533350
Lakkavaram PDC,533347
Tellamvarigudem PDC,533349
Mahendrawada PDC,533342
Vedurumudi PDC,533307
Balabhadrapuram PDC,533343
Matsavaram PDC,533261
Pasalapudi PDC,533261
Balantram PDC,533263
Kapavaram PDC,533262
Z Medapadu PDC,533341
G Yerrampalem PDC,533341
Kota PDC,533306
Ramavaram PDC,533264
Nelaturu PDC,533308
Maredubaka PDC,533308
Konkuduru PDC,533345
Kurmapuram PDC,533256
KOTHURU B O PDC,533256
Chinthalghat PDC,502321
Palathodu PDC,533340
Guttavilli PDC,532445
Labham PDC,532445
Thotavada PDC,532445
Annampeta PDC,532445
Belamam PDC,532484
Neradi PDC,532459
Tungatampara PDC,532459
Kondaragolu PDC,532459
Karavanja PDC,532432
Regulapadu PDC,532432
Kallata PDC,532214
Mahasingi PDC,532214
Baleru PDC,532455
Dabbapadu PDC,532458
Kadagandi PDC,532458
Telikipenta PDC,532458
Kambakaya PDC,532421
Komarti PDC,532421
Makivalasa PDC,532421
Satyavaram PDC,532421
Pothayyavalasa PDC,532421
Kurigam PDC,532457
Alamajipeta PDC,532190
Peddamallipuram PDC,532213
Sarali PDC,532213
Challayyavalasa PDC,532429
Dola PDC,532429
Pulkurthy PDC,502286
Nimmada PDC,532430
Runku Hanumanthapuram PDC,532430
Malagam PDC,532430
Susaram PDC,532430
Burujuvada PDC,532426
Rana PDC,532474
Lukulam PDC,532425
Parlam PDC,532425
Kalaparthi PDC,532186
Akkulapeta PDC,532186
Chittivalasa PDC,532186
Kanugulavalasa PDC,532186
Kasimivalasa PDC,532187
Opivada Venkampeta PDC,532186
Mofusbandar PDC,532401
Sanivada PDC,532401
D  Matchilesam PDC,532408
Dharmavaram PDC,532408
Koyyam PDC,532408
Ponnada PDC,532408
Bhagiradhipuram PDC,532408
Bandaruvanipeta PDC,532406
Fareedpeta PDC,532410
Bhairi PDC,532405
Patharlapalli PDC,532407
Venkatapuram PDC,532407
Kesavadasupuram PDC,532403
Pedda Kottapalle PDC,532403
Gokarnapalli PDC,532167
Mirtivalasa PDC,532167
Palakhandyam PDC,532168
Siripuram PDC,532167
Suravam PDC,532168
Tamaram PDC,532167
Devunipalavalasa PDC,532409
Rajam PDC,532409
Sancham PDC,532409
Agurukancharam PDC,532127
G M R Nagar PDC,532127
Penubaka PDC,532127
Perumali PDC,532127
Vommi PDC,532127
Gopalapuram PDC,532127
Ambakhandi PDC,532123
Govindapuram PDC,532123
Talada PDC,532123
Vasudevapatnam PDC,532123
Chinavatsavalasa PDC,532404
Madduvalasa PDC,532122
Chowkipeta PDC,532264
Bendi PDC,532220
Tekkalipatnam PDC,532220
Venkatapuram PDC,532220
Pedalaxmipuram PDC,532216
Banapuram PDC,532216
Rangoi PDC,532243
Loharibanda PDC,532243
Arakabhadra PDC,532312
Tellapur PDC,502032
Bhirlangi PDC,532312
Deppilugonapaputtuga PDC,532312
Edupuram PDC,532312
Karapadu PDC,532312
Kesupuram PDC,532312
Loddaputti PDC,532312
Purushothapur (IPR) PDC,532312
Boddapadu PDC,532222
Garudabhadra PDC,532222
Laxmidevipeta PDC,532222
Pallisaradhi PDC,532222
Kistupuram PDC,532195
Pattupuram PDC,532195
Santhabommali PDC,532195
Cheepi PDC,532242
Gudarurajamanipuram PDC,532242
Borivanka PDC,532292
Kusumapuram PDC,532292
Rushikudda PDC,532292
Dolagovindapuram PDC,532291
Mundala PDC,532291
Buragam PDC,532212
Talagam PDC,532212
Mulapeta PDC,532211
Kedaripuram PDC,532221
Lotturu PDC,532221
Reyyipadu PDC,532218
Jalantrakota PDC,532284
Kommusariapalli PDC,532203
Parasurampuram PDC,532203
Temburu PDC,532203
LINGALAVALASA PDC,532203
Bhagavanpuram PDC,532203
Yendada PDC,530045
Sagar Nagar PDC,530045
Pedagadili PDC,530040
Gayatri Engg College PDC,530048
Mindi PDC,530012
INS Kalinga PDC,531163
Kapuluppada PDC,531163
Peddipalem PDC,531163
Gudivada PDC,531162
Chippada PDC,531162
Nagarajupalem PDC,531162
Pandranki PDC,531162
Revidi PDC,531162
Singannabanda PDC,531162
Tallavalasa PDC,531162
Tatituru PDC,531162
MULAKUDDU PDC,531162
Yellapuvanipalem PDC,530027
Narava PDC,530027
Gurrampalem PDC,531173
Ananthavaram PDC,531219
Gandhavaram PDC,531219
Sirlapalem PDC,531219
Pakeertekya PDC,530049
Chintalaagaraharam PDC,530047
Cheluvuru PDC,535005
Nandigam PDC,535216
Savaravilli PDC,535216
Devupalli PDC,535260
Rachakindam PDC,535260
Konda Lingalavalasa PDC,535581
Badevalasa PDC,535581
Kottam PDC,535148
Bhudevipeta PDC,535270
Gollupalem PDC,535270
Konisa PDC,535270
Logisa PDC,535270
M Gumudam PDC,535270
S R R Puram PDC,535270
Vemali PDC,535270
P S R Puram PDC,535215
V R Palem PDC,535250
Alugubilli PDC,535250
Bheemasinghi PDC,535250
Palavalasa PDC,535220
PUNNAPUREDDIPETA PDC,535220
K R Peta PDC,535183
Kallepalli PDC,535183
V B Puram PDC,535183
Bhaligattam PDC,535183
Mangalapalem PDC,535183
Uttarapalli PDC,535183
Cheedivalasa PDC,535183
Seetharampuram PDC,535161
Gummakota PDC,535273
Chintalapeta PDC,535280
Jammu PDC,535217
Kella PDC,535217
Garida PDC,535217
Kondavelagada PDC,535217
Godiyada PDC,535221
Kirthubarthi PDC,535221
Kothavalasa PDC,535221
Ingilapalli Agraharam PDC,535580
Kuntinivalasa PDC,535580
Vijayaramapuram PDC,535580
Datti PDC,535582
Govindapuram PDC,535204
Kanimella PDC,535204
Kovvada Agraharam PDC,535204
Krishnapuram PDC,535204
Lankapillipalem PDC,535204
Alugolu PDC,535218
Kothapeta PDC,535218
M J R Peta PDC,535218
Valluru PDC,535218
VOMMI PDC,535218
Konapuram PDC,535145
Veeranaraynam PDC,535145
Boddam PDC,535145
Gumma PDC,535145
Kothuru PDC,535145
Konada PDC,535213
Pasupam PDC,535213
Gudivada PDC,535281
Ambativalasa PDC,535003
Dwarapudi PDC,535003
Tekkali PDC,535003
Borpathar PDC,786613
Garbandhi Bamunpukhuri PDC,786613
Ouphulia Chariali PDC,786613
Balaibari PDC,786007
Gohaingaon PDC,786007
Lezai PDC,786007
Dibrual PDC,786007
Banipur PDC,786003
Bhurburi PDC,786003
Hatiali Siding PDC,786184
Pakharijania PDC,786184
Bogibil PDC,786004
Jagoloni Grant PDC,786004
Naliapool PDC,786001
Erameshlow Gaon PDC,785676
Khowang Chariali PDC,785676
Padumoni Gaon No 1 PDC,785676
Dihingia Gaon PDC,785675
Majbam Chariali PDC,785675
Rangchali PDC,785675
Sechowapukhuri PDC,785675
Thengal PDC,785675
Konwaripathar PDC,786010
Naga Ghuli Kanaigaon PDC,786012
Bamunibill PDC,786610
Dihing Kinar PDC,786610
Fakialgaon PDC,786610
